Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType
Australia,South Wharf,"-37.824997,144.951999",Catering,"671,898.93",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"612,543.11",Subcontract
Australia,Claremont,"-31.981633,115.781288",Security,"585,741.46",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Mail Room & Reception,"506,453.78",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Security,"445,417.30",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Catering,"442,672.28",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"398,493.86",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"398,155.04",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"379,452.22",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"339,477.89",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"310,565.44",Subcontract
Australia,Claremont,"-31.981633,115.781288",Catering,"293,516.85",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"291,233.45",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"269,387.44",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Security,"268,424.05",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Security,"257,615.01",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"333,276.87",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"249,480.88",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Employee Convenience Services,"246,796.31",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"244,718.36",Subcontract
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,"239,261.10",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Catering,"226,424.98",Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,"213,452.64",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"212,171.59",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"208,935.03",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Catering,"198,283.37",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"188,869.30",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"167,795.75",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"166,382.68",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,"259,252.10",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"159,021.25",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,"158,955.38",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"157,330.15",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"154,058.58",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Reprographics & Stationery,"151,214.08",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"136,372.51",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Catering,"135,249.81",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"131,253.80",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"224,549.10",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance","147,444.52",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,"138,996.29",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"118,360.69",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,"117,232.21",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"114,958.66",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"114,854.48",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"114,674.31",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Security,"107,823.87",Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,"106,199.62",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"102,122.53",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Fire and Security Equipment,"99,882.54",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"98,653.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"98,243.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"97,999.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"97,807.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"97,807.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"97,807.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"97,212.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,"97,027.18",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"96,583.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"95,658.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"93,519.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"92,005.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"91,398.20",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"90,997.82",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"90,227.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"89,750.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,"89,603.04",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"88,950.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"88,012.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"87,104.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"86,415.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"85,910.00",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"85,779.76",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"85,733.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"85,733.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"85,733.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,"85,601.15",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"84,677.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"84,232.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"83,276.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"83,108.96",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"82,120.98",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"81,285.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"81,285.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"81,285.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"81,118.49",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"80,772.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"80,489.46",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,"80,478.56",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"80,306.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"79,749.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,"77,771.75",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"77,720.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"77,685.74",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"77,483.00",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"75,238.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"74,655.44",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Document Management,"74,655.44",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"74,431.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"73,738.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"72,972.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"72,629.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"72,075.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"71,722.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"71,246.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"71,127.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"68,170.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"68,170.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"68,170.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"68,120.21",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"68,087.32",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"67,676.00",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"66,444.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"66,235.16",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,"65,621.69",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"65,041.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"63,838.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"62,802.53",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"62,492.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"62,351.21",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"62,237.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"61,625.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"61,572.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"61,239.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"61,178.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Security,"60,982.36",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,"60,925.41",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"60,712.60",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"60,370.29",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"59,673.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"59,445.94",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance","58,988.28",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"58,496.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"58,224.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"57,943.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"57,943.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"57,943.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"57,746.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"57,643.39",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Security,"56,715.14",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"55,941.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"55,524.50",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,"139,948.88",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Mail Room & Reception,"54,846.82",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"53,196.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455","E, H, S & Q, compliance","52,863.29",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"52,784.21",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"164,039.73",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"51,288.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,"51,099.65",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"50,082.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"49,940.00",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"49,542.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"49,450.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"49,225.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"48,725.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"48,699.15",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,"48,505.47",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Catering,"48,009.19",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"47,814.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"47,504.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"47,335.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"47,322.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"47,104.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"47,030.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"46,980.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"46,695.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"46,308.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"46,211.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"45,941.81",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"45,695.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"45,657.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"45,617.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"45,617.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"45,606.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"45,558.81",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"45,178.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"45,059.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"44,928.51",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"44,662.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"44,577.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"44,382.80",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"44,096.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"44,029.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"44,005.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"43,911.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"43,890.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"43,816.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"43,785.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"43,604.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"43,304.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"43,202.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"42,908.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"42,537.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"42,228.94",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"42,156.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"41,921.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"41,893.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"41,442.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"41,303.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"41,214.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"41,179.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"41,152.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"41,152.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"41,152.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"41,023.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"40,993.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"40,955.55",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"40,784.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"120,013.83",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"40,335.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"40,061.26",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,"39,974.37",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"39,797.09",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"39,717.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"39,657.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"39,301.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"39,214.00",Subcontract
