Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType,expenseSubGroup
Australia,South Wharf,"-37.824997,144.951999",Catering,671899,Subcontract,8021 Canteen / Restaurant
Australia,Claremont,"-31.981633,115.781288",Cleaning,612543,Subcontract,0201 Cleaning (Interior)
Australia,Claremont,"-31.981633,115.781288",Security,585741,Subcontract,4200 Security - Guards
Australia,South Wharf,"-37.824997,144.951999",Mail Room & Reception,506454,Self Delivery,8235 Mailroom Services
Australia,Ringwood,"-37.814262,145.227386",Security,445417,Subcontract,4200 Security - Guards
Australia,Ringwood,"-37.814262,145.227386",Catering,442672,Subcontract,8021 Canteen / Restaurant
Australia,Ringwood,"-37.814262,145.227386",Cleaning,398494,Subcontract,0404 Laundry Services
Australia,Ringwood,"-37.814262,145.227386",Cleaning,398155,Subcontract,0201 Cleaning (Interior)
Australia,Claremont,"-31.981633,115.781288",Cleaning,379452,Subcontract,0404 Laundry Services
Australia,Ringwood,"-37.814262,145.227386",Cleaning,339478,Subcontract,0500 Trash Removal
India,Baddi,"30.957826,76.791356",Cleaning,310565,Subcontract,0201 Cleaning (Interior)
Australia,Claremont,"-31.981633,115.781288",Catering,293517,Subcontract,8021 Canteen / Restaurant
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,291233,Subcontract,0201 Cleaning (Interior)
Australia,Ringwood,"-37.814262,145.227386",Cleaning,269387,Subcontract,1801 Interior - Pest Control
Australia,Port Melbourne,"-37.836926,144.94455",Security,268424,Subcontract,4200 Security - Guards
Australia,Scoresby,"-37.898567,145.230362",Security,257615,Subcontract,4200 Security - Guards
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,333277,Subcontract,1300 Building R/M-HVAC Maint
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,249481,Subcontract,0201 Cleaning (Interior)
Thailand,Lad Krabang,"13.722049,100.784157",Employee Convenience Services,246796,Self Delivery,8272 Courtesy Transport Srvcs
Australia,Scoresby,"-37.898567,145.230362",Cleaning,244718,Subcontract,0500 Trash Removal
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,239261,Self Delivery,5000 Admin Support Services
Australia,Port Melbourne,"-37.836926,144.94455",Catering,226425,Subcontract,8021 Canteen / Restaurant
Australia,Claremont,"-31.981633,115.781288",Building Fabric,213453,Self Delivery,1390 Water Treatment Services
Australia,Scoresby,"-37.898567,145.230362",Cleaning,212172,Subcontract,0201 Cleaning (Interior)
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,208935,Subcontract,1300 Building R/M-HVAC Maint
New Zealand,Dunedin,"-45.87876,170.502798",Catering,198283,Subcontract,8021 Canteen / Restaurant
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,188869,Subcontract,0502 Trash Removal - Recycling
Australia,Claremont,"-31.981633,115.781288",Cleaning,167796,Subcontract,0500 Trash Removal
Australia,South Wharf,"-37.824997,144.951999",Cleaning,166383,Subcontract,0201 Cleaning (Interior)
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,259252,Self Delivery,1100 Building Maint Services
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,159021,Subcontract,1600 Maint-Plumbing
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,158955,Self Delivery,1800 Int-Bldg Repair&Maint
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,157330,Subcontract,1349 Mechanical Systems Maint
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,154059,Subcontract,1600 Maint-Plumbing
Australia,South Wharf,"-37.824997,144.951999",Reprographics & Stationery,151214,Subcontract,8151 Stationery Management
Australia,Claremont,"-31.981633,115.781288",Cleaning,136373,Subcontract,1801 Interior - Pest Control
Australia,Scoresby,"-37.898567,145.230362",Catering,135250,Subcontract,8021 Canteen / Restaurant
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,131254,Subcontract,1300 Building R/M-HVAC Maint
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,224549,Subcontract,1310 Central Plant Maintenance
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance",147445,Self Delivery,8215 Env Health and Safety
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,138996,Self Delivery,1390 Water Treatment Services
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,118361,Subcontract,1600 Maint-Plumbing
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,117232,Self Delivery,1800 Int-Bldg Repair&Maint
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,114959,Subcontract,1180 Compressed Air System
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,114854,Subcontract,1180 Compressed Air System
Australia,Scoresby,"-37.898567,145.230362",Cleaning,114674,Subcontract,0404 Laundry Services
Thailand,Lad Krabang,"13.722049,100.784157",Security,107824,Subcontract,4200 Security - Guards
Australia,Claremont,"-31.981633,115.781288",Building Fabric,106200,Self Delivery,1800 Int-Bldg Repair&Maint
